Title: BV Photometry Of The RR Lyrae Variables Of The Globular Cluster M3  
Authors: Corwin T.M., Carney B.W. 
Table: B and V Photometry of the Variable Stars
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---   Name   Variable name
   6- 16 F11.3  d     JD     Julian date of observation
      18 A1     ---   Filt   Filter used 
  20- 25 F6.3   mag   Mag    ? Observed magnitude in Filt
--------------------------------------------------------------------------------
name JD filter mag
v3   2448760.900 B 16.280
v3   2449085.867 B 16.380
v3   2449085.880 B 16.265
v3   2449085.894 B 15.653
v3   2449085.908 B 15.041
v3   2449085.923 B 14.873
v3   2449085.938 B 14.906
v3   2449085.952 B 15.012
v3   2449086.663 B 15.930
v3   2449086.677 B 15.947
v3   2449086.691 B 16.043
v3   2449086.712 B 16.100
v3   2449086.728 B 16.176
v3   2449086.744 B 16.188
v3   2449086.789 B 16.260
v3   2449086.805 B 16.246
v3   2449086.822 B 16.282
v3   2449086.836 B 16.289
v3   2449086.850 B 16.274
v3   2449086.864 B 16.295
v3   2449086.878 B 16.331
v3   2449086.942 B 16.337
v3   2449086.956 B 16.372
v3   2449086.991 B 16.326
v3   2449087.005 B 15.918
v3   2449087.668 B 15.340
v3   2449087.709 B 15.584
v3   2449087.724 B 15.683
v3   2449087.737 B 15.749
v3   2449087.751 B 15.813
v3   2449087.765 B 15.860
v3   2449087.779 B 15.927
v3   2449087.792 B 15.991
v3   2449087.806 B 16.053
v3   2449087.872 B 16.204
v3   2449087.886 B 16.249
v3   2449087.919 B 16.273
v3   2449087.932 B 16.284
v3   2449087.945 B 16.256
v3   2449087.959 B 16.277
v3   2449087.972 B 16.284
v3   2449087.986 B 16.272
v3   2449088.000 B 16.313
v3   2449088.799 B 15.453
v3   2449088.813 B 15.491
v3   2449088.826 B 15.565
v3   2449088.840 B 15.652
v3   2449088.854 B 15.744
v3   2449088.870 B 15.786
v3   2449088.881 B 15.857
v3   2449088.905 B 16.132
v3   2449088.919 B 15.994
v3   2449088.936 B 16.062
v3   2449088.958 B 16.156
v3   2449088.972 B 16.209
v3   2449088.986 B 16.244
v3   2449088.999 B 16.309
v3   2449089.672 B 16.300
v3   2449089.692 B 16.219
v3   2449089.711 B 16.229
v3   2449089.730 B 16.299
v3   2449089.750 B 16.354
v3   2449089.769 B 16.306
v3   2449089.804 B 15.248
v3   2449089.833 B 14.904
v3   2449089.862 B 15.105
v3   2449089.950 B 15.653
v3   2449089.969 B 15.730
v3   2449089.988 B 15.842
v3   2449090.006 B 15.876
v3   2449090.661 B 16.233
v3   2449090.707 B 16.270
v3   2449090.724 B 16.284
v3   2449090.739 B 16.237
v3   2449090.769 B 16.259
v3   2449090.791 B 16.290
v3   2449090.809 B 16.235
v3   2449090.825 B 16.275
v3   2449090.842 B 16.343
v3   2449090.879 B 16.548
v3   2449090.895 B 16.398
v3   2449091.657 B 15.852
v3   2449091.671 B 15.887
v3   2449091.685 B 15.991
v3   2449091.699 B 16.006
